Bono,Fecha,Cashflow
VSCTD,10/6/2034,2.55
VSCTD,10/12/2034,35.56
VSCTD,10/6/2035,1.29
VSCTD,10/12/2035,35.3
XMC1D,11/5/2025,3.97
XMC1D,11/11/2025,4.03
XMC1D,11/5/2026,3.97
XMC1D,11/11/2026,4.03
XMC1D,11/5/2027,53.97
XMC1D,11/11/2027,52.02
YCA6D,28/1/2025,4.25
YCA6D,28/7/2025,104.25
YCAMD,21/7/2025,3.48
YCAMD,21/1/2026,3.48
YCAMD,21/7/2026,3.48
YCAMD,21/1/2027,3.48
YCAMD,21/7/2027,103.48
YFCDD,29/8/2026,100.0
YFCGD,27/2/2025,1.5
YFCGD,27/5/2025,1.5
YFCGD,27/8/2025,1.5
YFCGD,27/11/2025,1.5
YFCGD,27/2/2026,1.5
YFCGD,27/5/2026,1.5
YFCGD,27/8/2026,1.5
YFCGD,27/11/2026,1.5
YFCGD,27/2/2027,101.5
YFCID,13/3/2025,4.42
YFCID,13/6/2025,1.48
YFCID,13/9/2025,1.48
YFCID,13/12/2025,1.48
YFCID,13/3/2026,1.48
YFCID,13/6/2026,1.48
YFCID,13/9/2026,1.48
YFCID,13/12/2026,1.48
YFCID,13/3/2027,51.48
YFCID,13/6/2027,50.74
YFCJD,16/4/2025,3.93
YFCJD,16/10/2025,3.95
YFCJD,16/4/2026,3.93
YFCJD,16/10/2026,3.95
YFCJD,16/4/2027,3.93
YFCJD,16/10/2027,3.95
YFCJD,16/4/2028,3.95
YFCJD,16/10/2028,3.95
YFCJD,16/4/2029,3.93
YFCJD,16/10/2029,3.95
YFCJD,16/4/2030,3.93
YFCJD,16/10/2030,36.95
YFCJD,16/4/2031,2.63
YFCJD,16/10/2031,35.65
YFCJD,16/4/2032,1.34
YFCJD,16/10/2032,35.34
YFCKD,22/2/2025,1.32
YFCKD,22/5/2025,1.28
YFCKD,22/8/2025,1.32
YFCKD,22/11/2025,1.32
YFCKD,22/2/2026,1.32
YFCKD,22/5/2026,1.28
YFCKD,22/8/2026,1.32
YFCKD,22/11/2026,101.32
YFCLD,22/2/2025,1.7
YFCLD,22/5/2025,1.65
YFCLD,22/8/2025,1.7
YFCLD,22/11/2025,1.7
YFCLD,22/2/2026,1.7
YFCLD,22/5/2026,1.65
YFCLD,22/8/2026,1.7
YFCLD,22/11/2026,1.7
YFCLD,22/2/2027,1.7
YFCLD,22/5/2027,1.65
YFCLD,22/8/2027,1.7
YFCLD,22/11/2027,1.7
YFCLD,22/2/2028,1.7
YFCLD,22/5/2028,1.66
YFCLD,22/8/2028,1.7
YFCLD,22/11/2028,101.7
YM34D,17/7/2025,4.09
YM34D,17/1/2026,4.16
YM34D,17/7/2026,4.09
YM34D,17/1/2027,4.16
YM34D,17/7/2027,4.09
YM34D,17/1/2028,4.16
YM34D,17/7/2028,4.11
YM34D,17/1/2029,4.16
YM34D,17/7/2029,4.09
YM34D,17/1/2030,4.16
YM34D,17/7/2030,4.09
YM34D,17/1/2031,4.16
YM34D,17/7/2031,4.09
YM34D,17/1/2032,34.16
YM34D,17/7/2032,2.88
YM34D,17/1/2033,32.91
YM34D,17/7/2033,1.64
YM34D,17/1/2034,41.66
YMCHD,12/2/2025,8.56
YMCHD,12/5/2025,8.38
YMCHD,12/8/2025,8.21
YMCHD,12/11/2025,8.04
YMCHD,12/2/2026,7.86
YMCID,30/6/2025,4.5
YMCID,30/12/2025,4.5
YMCID,30/6/2026,18.78
YMCID,30/12/2026,18.14
YMCID,30/6/2027,17.49
YMCID,30/12/2027,16.85
YMCID,30/6/2028,16.21
YMCID,30/12/2028,15.57
YMCID,30/6/2029,14.92
YMCJD,30/3/2025,3.5
YMCJD,30/9/2025,3.5
YMCJD,30/3/2026,3.5
YMCJD,30/9/2026,3.5
YMCJD,30/3/2027,3.5
YMCJD,30/9/2027,3.5
YMCJD,30/3/2028,3.5
YMCJD,30/9/2028,3.5
YMCJD,30/3/2029,3.5
YMCJD,30/9/2029,3.5
YMCJD,30/3/2030,3.5
YMCJD,30/9/2030,28.5
YMCJD,30/3/2031,2.62
YMCJD,30/9/2031,27.62
YMCJD,30/3/2032,1.75
YMCJD,30/9/2032,26.75
YMCJD,30/3/2033,0.88
YMCJD,30/9/2033,25.88
YMCMD,10/4/2025,0.25
YMCMD,10/7/2025,0.25
YMCMD,10/10/2025,0.25
YMCMD,10/1/2026,100.25
YMCQD,13/6/2025,2.49
YMCQD,13/12/2025,2.51
YMCQD,13/2/2026,100.85
YMCVD,28/2/2025,1.51
YMCVD,28/5/2025,1.46
YMCVD,28/8/2025,1.51
YMCVD,28/11/2025,1.51
YMCVD,28/2/2026,1.51
YMCVD,28/5/2026,101.46
YMCXD,11/3/2025,4.38
YMCXD,11/9/2025,4.38
YMCXD,11/3/2026,4.38
YMCXD,11/9/2026,4.38
YMCXD,11/3/2027,4.38
YMCXD,11/9/2027,4.38
YMCXD,11/3/2028,4.38
YMCXD,11/9/2028,4.38
YMCXD,11/3/2029,4.38
YMCXD,11/9/2029,24.38
YMCXD,11/3/2030,3.5
YMCXD,11/9/2030,23.5
YMCXD,11/3/2031,2.62
YMCXD,11/9/2031,62.62
